Stock,Nợ phải trả,Tổng tài sản,Tài sản ngắn hạn,Nợ ngắn hạn,Nợ phải trả/Tài sản ngắn hạn,Tài sản ngắn hạn/Nợ ngắn hạn,EPS,P/E,BVPS cơ bản,P/B,Latest Price
ACB,652507236.0,727297968.0,,,,,4170.0,6.83,19256.0,1.5112172829248027,29100.0
BCM,34542659.0,54069051.0,28160520.0,22551228.0,1.2266342737989213,1.2487355455764981,2440.0,26.6,18866.0,3.2015265557086825,60400.0
BID,2199712917.0,2328730752.0,,,,,4171.0,12.49,22633.0,2.180444483718464,49350.0
BVH,211395655.0,234271578.0,122492417.0,38507301.0,1.7257856459800283,3.181017984096055,2403.0,17.79,30817.0,1.3255670571437843,40850.0
CTG,1947032568.0,2077615056.0,,,,,4056.0,8.76,24317.0,1.3611876465024468,33100.0
FPT,30297604.0,62024705.0,37679149.0,29033183.0,0.8040946996971721,1.2977960081056217,5541.0,21.02,24980.0,5.3642914331465175,134000.0
GAS,23875666.0,91775937.0,66458956.0,16434181.0,0.35925430426562827,4.043946942047188,5127.0,15.64,29564.0,2.5605466107427954,75700.0
GVR,20894964.0,76913141.0,22975130.0,7722617.0,0.9094600988111928,2.9750445995185313,627.0,52.89,13994.0,2.3831642132342434,33350.0
HDB,552851320.0,602551570.0,,,,,4005.0,6.02,17182.0,1.4142707484576882,24300.0
HPG,96315645.0,201940226.0,94032458.0,79314488.0,1.0242808392821126,1.1855647104473523,1601.0,18.9,18165.0,1.7396091384530692,31600.0
MBB,799305717.0,900647141.0,,,,,4027.0,6.31,18399.0,1.2636556334583402,23250.0
MSN,107688924.0,146522417.0,42629110.0,49428183.0,2.526182789178568,0.8624454190436254,216.0,344.06,27140.0,2.7818717759764184,75500.0
MWG,37509372.0,63543531.0,56259440.0,31420953.0,0.6667213893348387,1.7905071179731564,717.0,71.26,17804.0,3.347562345540328,59600.0
PLX,50419175.0,80732358.0,58284382.0,49633736.0,0.86505463847931,1.174289640417155,2539.0,14.69,23858.0,1.5906614133623942,37950.0
POW,38681995.0,72549765.0,28377297.0,28586606.0,1.3631317669191678,0.9926780744800554,350.0,32.6,14462.0,0.7779007052966395,11250.0
SAB,5689664.0,32146521.0,24868689.0,5344984.0,0.2287882565904459,4.652715330859737,4260.0,13.31,20628.0,2.816560015512895,58100.0
SHB,567963139.0,621144113.0,,,,,2303.0,4.95,14521.0,0.8263893671234763,12000.0
SSB,240047910.0,271613578.0,,,,,1704.0,12.97,12648.0,1.739405439595193,22000.0
SSI,41467415.0,65488320.0,61957599.0,41413285.0,0.6692869909306847,1.4960802795528054,1704.0,22.6,16023.0,2.271734381826125,36400.0
STB,645625554.0,693534553.0,,,,,4206.0,7.51,25413.0,1.1214732617164442,28500.0
TCB,747780735.0,885653461.0,,,,,5606.0,8.48,39140.0,1.271078180889116,49750.0
TPB,321680275.0,355870488.0,,,,,2175.0,8.78,15529.0,1.1848799021186167,18400.0
VCB,1600099458.0,1773713584.0,,,,,6180.0,15.36,31063.0,2.955284421981135,91800.0
VHM,268268453.0,464484694.0,255295711.0,214974937.0,1.0508145708722854,1.1875603480232675,5081.0,8.43,45062.0,0.9067506990368825,40860.0
VIC,536196058.0,693948793.0,350049998.0,394383059.0,1.5317699216213108,0.8875888302291403,2313.0,20.27,41257.0,1.135564873839591,46850.0
VJC,69776185.0,85828171.0,38743314.0,35373043.0,1.8009864876298398,1.0952779493695242,1866.0,55.2,29637.0,3.961264635421939,117400.0
VPB,679429571.0,822366981.0,,,,,1531.0,12.9,18016.0,1.0795959147424512,19450.0
VRE,10107120.0,49016195.0,11393460.0,6625269.0,0.8870983880226024,1.7196977209529152,1966.0,13.15,17123.0,1.3490626642527594,23100.0
