"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2024","29,100.0","28,850.0","29,400.0","28,850.0","5.66M","-0.51%"
"05/29/2024","29,250.0","29,700.0","29,750.0","29,250.0","13.45M","-1.35%"
"05/28/2024","29,650.0","29,700.0","29,700.0","29,300.0","10.69M","0.68%"
"05/27/2024","29,450.0","29,500.0","29,850.0","29,250.0","7.54M","0.68%"
"05/24/2024","29,250.0","28,450.0","30,200.0","28,250.0","33.85M","2.81%"
"05/23/2024","28,450.0","28,000.0","28,500.0","28,000.0","10.45M","1.79%"
"05/22/2024","27,950.0","28,200.0","28,250.0","27,900.0","9.28M","-0.89%"
"05/21/2024","28,200.0","28,250.0","28,300.0","27,850.0","10.82M","-0.18%"
"05/20/2024","28,250.0","28,500.0","28,550.0","28,200.0","9.33M","0.00%"
"05/17/2024","28,250.0","28,250.0","28,400.0","28,200.0","8.50M","0.00%"
"05/16/2024","28,250.0","28,000.0","28,400.0","27,800.0","30.20M","1.99%"
"05/15/2024","27,700.0","27,850.0","27,850.0","27,700.0","7.80M","-0.18%"
"05/14/2024","27,750.0","27,700.0","27,900.0","27,650.0","4.47M","0.18%"
"05/13/2024","27,700.0","28,000.0","28,000.0","27,650.0","5.55M","0.00%"
"05/10/2024","27,700.0","27,600.0","27,700.0","27,450.0","4.91M","0.36%"
"05/09/2024","27,600.0","27,600.0","27,800.0","27,500.0","4.10M","0.18%"
"05/08/2024","27,550.0","27,500.0","27,650.0","27,300.0","4.04M","-0.36%"
"05/07/2024","27,650.0","27,750.0","27,800.0","27,500.0","4.30M","0.18%"
"05/06/2024","27,600.0","27,500.0","27,700.0","27,350.0","7.45M","0.36%"
"05/03/2024","27,500.0","27,100.0","27,500.0","27,100.0","8.72M","1.85%"
"05/02/2024","27,000.0","26,850.0","27,150.0","26,800.0","4.80M","0.56%"
"04/26/2024","26,850.0","26,800.0","27,000.0","26,600.0","5.44M","0.19%"
"04/25/2024","26,800.0","27,000.0","27,050.0","26,750.0","5.14M","-0.92%"
"04/24/2024","27,050.0","26,800.0","27,100.0","26,700.0","6.68M","1.50%"
"04/23/2024","26,650.0","26,800.0","26,950.0","26,550.0","8.54M","-0.56%"
"04/22/2024","26,800.0","26,900.0","26,950.0","26,700.0","6.31M","0.75%"
"04/19/2024","26,600.0","26,600.0","26,800.0","26,450.0","10.86M","-0.56%"
"04/17/2024","26,750.0","27,200.0","27,250.0","26,750.0","10.48M","-1.47%"
"04/16/2024","27,150.0","26,850.0","27,150.0","26,750.0","17.35M","1.12%"
"04/15/2024","26,850.0","27,800.0","28,000.0","26,850.0","16.25M","-4.11%"
"04/12/2024","28,000.0","27,200.0","28,000.0","27,000.0","9.77M","3.13%"
"04/11/2024","27,150.0","27,000.0","27,150.0","26,900.0","11.29M","0.18%"
