"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2024","40,850.0","40,800.0","40,900.0","40,550.0","286.90K","0.12%"
"05/16/2024","40,800.0","40,600.0","41,000.0","40,600.0","193.90K","0.62%"
"05/15/2024","40,550.0","40,350.0","40,700.0","40,350.0","185.40K","0.37%"
"05/14/2024","40,400.0","40,450.0","40,750.0","40,100.0","162.60K","-0.12%"
"05/13/2024","40,450.0","40,400.0","41,200.0","40,400.0","145.90K","-0.61%"
"05/10/2024","40,700.0","40,750.0","41,500.0","40,550.0","244.00K","-0.61%"
"05/09/2024","40,950.0","41,600.0","41,600.0","40,600.0","235.60K","-0.36%"
"05/08/2024","41,100.0","38,650.0","41,550.0","38,650.0","332.40K","-0.72%"
"05/07/2024","41,400.0","40,550.0","41,550.0","40,550.0","596.90K","2.10%"
"05/06/2024","40,550.0","40,050.0","40,550.0","40,000.0","246.30K","1.38%"
"05/03/2024","40,000.0","39,600.0","40,650.0","39,600.0","297.40K","-0.25%"
"05/02/2024","40,100.0","39,050.0","40,400.0","39,050.0","359.20K","1.65%"
"04/26/2024","39,450.0","39,300.0","39,450.0","38,900.0","303.90K","0.38%"
"04/25/2024","39,300.0","39,450.0","39,700.0","39,200.0","154.30K","-0.76%"
"04/24/2024","39,600.0","38,200.0","39,700.0","38,200.0","239.80K","0.89%"
"04/23/2024","39,250.0","39,600.0","39,600.0","38,850.0","209.90K","-0.88%"
"04/22/2024","39,600.0","38,500.0","40,050.0","38,500.0","446.70K","2.86%"
"04/19/2024","38,500.0","38,600.0","39,000.0","38,200.0","606.40K","-0.26%"
"04/17/2024","38,600.0","39,350.0","40,000.0","38,450.0","779.30K","-1.91%"
"04/16/2024","39,350.0","39,800.0","40,000.0","39,000.0","618.00K","-0.88%"
"04/15/2024","39,700.0","41,700.0","41,900.0","39,200.0","405.00K","-5.25%"
"04/12/2024","41,900.0","42,000.0","42,000.0","41,300.0","132.40K","1.09%"
"04/11/2024","41,450.0","41,550.0","41,550.0","41,250.0","173.60K","-0.24%"
"04/10/2024","41,550.0","39,600.0","41,850.0","39,600.0","233.00K","0.00%"
"04/09/2024","41,550.0","41,700.0","41,950.0","41,300.0","302.90K","0.00%"
"04/08/2024","41,550.0","41,350.0","42,000.0","41,350.0","323.70K","-0.36%"
"04/05/2024","41,700.0","42,100.0","42,100.0","41,700.0","274.70K","-0.95%"
"04/04/2024","42,100.0","42,000.0","42,600.0","42,000.0","199.20K","-0.47%"
"04/03/2024","42,300.0","42,400.0","42,950.0","42,000.0","273.00K","-0.12%"
"04/02/2024","42,350.0","42,400.0","42,700.0","41,900.0","471.00K","-0.12%"
"04/01/2024","42,400.0","42,750.0","42,950.0","42,300.0","268.00K","-0.82%"
"03/29/2024","42,750.0","43,550.0","43,550.0","42,650.0","526.10K","-1.38%"
"03/28/2024","43,350.0","43,300.0","43,550.0","43,200.0","368.00K","0.12%"
"03/27/2024","43,300.0","43,200.0","43,300.0","42,700.0","546.90K","0.93%"
"03/26/2024","42,900.0","39,850.0","43,050.0","39,850.0","297.10K","0.23%"
"03/25/2024","42,800.0","42,900.0","43,300.0","42,400.0","728.40K","0.71%"
"03/22/2024","42,500.0","42,800.0","43,000.0","42,350.0","439.90K","-0.70%"
"03/21/2024","42,800.0","42,550.0","42,900.0","42,450.0","492.20K","1.30%"
"03/20/2024","42,250.0","42,050.0","42,400.0","41,800.0","280.70K","0.60%"
"03/19/2024","42,000.0","42,000.0","42,350.0","41,900.0","195.70K","0.00%"
"03/18/2024","42,000.0","43,100.0","43,400.0","41,500.0","900.90K","-2.55%"
"03/15/2024","43,100.0","43,500.0","43,850.0","42,950.0","793.00K","-1.26%"
"03/14/2024","43,650.0","44,000.0","44,000.0","43,550.0","582.30K","-0.80%"
"03/13/2024","44,000.0","43,450.0","44,000.0","43,250.0","579.30K","1.38%"
"03/12/2024","43,400.0","43,350.0","43,500.0","43,000.0","889.90K","0.12%"
"03/11/2024","43,350.0","44,450.0","44,500.0","43,200.0","874.20K","-2.47%"
"03/08/2024","44,450.0","45,300.0","45,550.0","44,300.0","1.51M","-1.00%"
"03/07/2024","44,900.0","43,350.0","44,900.0","43,250.0","1.67M","3.70%"
"03/06/2024","43,300.0","43,600.0","44,200.0","43,250.0","603.80K","0.00%"
"03/05/2024","43,300.0","43,000.0","43,450.0","42,900.0","491.90K","0.23%"
"03/04/2024","43,200.0","42,750.0","43,350.0","42,750.0","804.10K","0.93%"
"03/01/2024","42,800.0","42,850.0","43,200.0","42,700.0","399.70K","-0.23%"
"02/29/2024","42,900.0","42,700.0","43,300.0","42,700.0","673.80K","1.06%"
"02/28/2024","42,450.0","42,450.0","42,550.0","42,150.0","390.70K","0.00%"
"02/27/2024","42,450.0","42,100.0","42,500.0","42,100.0","290.10K","0.95%"
"02/26/2024","42,050.0","41,950.0","42,250.0","41,900.0","353.40K","0.12%"
"02/23/2024","42,000.0","42,250.0","42,850.0","41,850.0","627.20K","-0.36%"
"02/22/2024","42,150.0","42,550.0","42,600.0","42,150.0","400.60K","-0.71%"
"02/21/2024","42,450.0","42,750.0","42,800.0","42,250.0","464.10K","-0.70%"
"02/20/2024","42,750.0","43,200.0","43,250.0","42,650.0","457.40K","-1.04%"
"02/19/2024","43,200.0","42,700.0","43,250.0","42,450.0","818.80K","1.65%"
"02/16/2024","42,500.0","41,600.0","42,750.0","41,500.0","981.50K","2.91%"
"02/15/2024","41,300.0","41,200.0","41,700.0","41,200.0","359.90K","0.24%"
"02/07/2024","41,200.0","41,100.0","41,400.0","41,050.0","289.90K","0.24%"
"02/06/2024","41,100.0","41,100.0","41,350.0","41,000.0","221.00K","0.12%"
"02/05/2024","41,050.0","41,050.0","42,000.0","41,050.0","387.70K","0.12%"
"02/02/2024","41,000.0","41,250.0","41,250.0","40,850.0","167.90K","-0.61%"
"02/01/2024","41,250.0","40,700.0","41,400.0","40,600.0","485.10K","1.85%"
"01/31/2024","40,500.0","41,300.0","41,300.0","40,500.0","336.30K","-1.22%"
"01/30/2024","41,000.0","41,300.0","41,450.0","40,950.0","143.80K","-0.49%"
"01/29/2024","41,200.0","40,950.0","41,450.0","40,700.0","266.20K","0.86%"
"01/26/2024","40,850.0","40,700.0","40,850.0","40,700.0","140.10K","0.37%"
"01/25/2024","40,700.0","40,850.0","40,850.0","40,600.0","157.90K","0.00%"
"01/24/2024","40,700.0","40,800.0","40,950.0","40,600.0","334.10K","-0.25%"
"01/23/2024","40,800.0","41,200.0","41,200.0","40,700.0","449.80K","-0.97%"
"01/22/2024","41,200.0","41,450.0","41,500.0","41,150.0","234.60K","-0.12%"
"01/19/2024","41,250.0","41,150.0","41,450.0","41,150.0","250.00K","0.24%"
"01/18/2024","41,150.0","41,000.0","41,450.0","41,000.0","289.00K","0.00%"
"01/17/2024","41,150.0","40,700.0","41,700.0","40,700.0","503.30K","0.37%"
"01/16/2024","41,000.0","41,000.0","41,050.0","40,600.0","553.60K","0.00%"
"01/15/2024","41,000.0","41,700.0","42,000.0","41,000.0","435.50K","-1.91%"
"01/12/2024","41,800.0","42,000.0","42,050.0","41,250.0","690.80K","-0.48%"
"01/11/2024","42,000.0","40,500.0","42,200.0","40,400.0","1.20M","3.70%"
"01/10/2024","40,500.0","40,150.0","40,950.0","40,150.0","886.90K","1.25%"
"01/09/2024","40,000.0","40,000.0","40,450.0","39,800.0","377.30K","0.00%"
"01/08/2024","40,000.0","40,050.0","40,350.0","39,950.0","301.10K","0.00%"
"01/05/2024","40,000.0","40,150.0","40,200.0","39,850.0","189.30K","-0.25%"
"01/04/2024","40,100.0","40,000.0","40,400.0","39,750.0","684.00K","0.75%"
"01/03/2024","39,800.0","39,500.0","39,800.0","39,500.0","148.00K","0.51%"
"01/02/2024","39,600.0","39,500.0","39,900.0","39,500.0","223.40K","0.25%"
"12/29/2023","39,500.0","39,600.0","39,750.0","39,500.0","270.30K","-0.25%"
"12/28/2023","39,600.0","39,600.0","39,700.0","39,500.0","168.10K","0.13%"
"12/27/2023","39,550.0","39,500.0","40,000.0","39,500.0","236.70K","0.13%"
"12/26/2023","39,500.0","39,150.0","39,650.0","39,150.0","240.20K","0.51%"
"12/25/2023","39,300.0","38,950.0","39,450.0","38,900.0","224.20K","1.03%"
"12/22/2023","38,900.0","39,350.0","39,350.0","38,900.0","359.90K","-1.14%"
"12/21/2023","39,350.0","39,350.0","39,450.0","39,200.0","132.10K","0.00%"
"12/20/2023","39,350.0","39,250.0","39,450.0","39,050.0","171.00K","0.38%"
"12/19/2023","39,200.0","39,050.0","39,400.0","39,000.0","143.90K","0.38%"
"12/18/2023","39,050.0","39,550.0","39,700.0","39,000.0","276.40K","-1.14%"
"12/15/2023","39,500.0","40,150.0","40,200.0","39,500.0","533.60K","-1.62%"
"12/14/2023","40,150.0","40,600.0","40,650.0","40,150.0","313.00K","-0.86%"
"12/13/2023","40,500.0","40,100.0","41,050.0","40,100.0","900.30K","1.00%"
"12/12/2023","40,100.0","40,050.0","40,300.0","40,000.0","324.20K","0.12%"
"12/11/2023","40,050.0","39,600.0","40,100.0","39,550.0","396.00K","1.26%"
"12/08/2023","39,550.0","39,700.0","39,800.0","39,300.0","214.40K","-0.13%"
"12/07/2023","39,600.0","40,050.0","40,100.0","39,400.0","466.80K","-1.12%"
"12/06/2023","40,050.0","39,800.0","40,300.0","39,750.0","361.30K","0.63%"
"12/05/2023","39,800.0","40,200.0","40,200.0","39,650.0","292.80K","-0.50%"
"12/04/2023","40,000.0","39,950.0","40,250.0","39,750.0","399.70K","0.76%"
"12/01/2023","39,700.0","39,650.0","40,000.0","39,350.0","211.20K","1.79%"
"11/30/2023","39,000.0","39,600.0","40,150.0","39,000.0","386.70K","-1.76%"
"11/29/2023","39,700.0","39,600.0","39,950.0","39,500.0","269.20K","0.25%"
"11/28/2023","39,600.0","38,850.0","39,600.0","38,850.0","248.60K","1.93%"
"11/27/2023","38,850.0","39,400.0","39,800.0","38,800.0","315.00K","-3.48%"
"11/24/2023","40,250.0","40,500.0","40,650.0","39,800.0","413.60K","-0.62%"
