Date,Price,Open,High,Low,Vol.,Change %
05/17/2024,"75,700.00","76,200.00","76,200.00","75,500.00",965.10K,-0.26%
05/16/2024,"75,900.00","76,200.00","76,500.00","75,800.00",1.12M,0.53%
05/15/2024,"75,500.00","75,200.00","75,800.00","74,900.00",883.30K,0.40%
05/14/2024,"75,200.00","76,000.00","76,000.00","74,900.00",785.30K,0.00%
05/13/2024,"75,200.00","75,500.00","76,500.00","75,000.00",630.70K,-0.40%
05/10/2024,"75,500.00","75,400.00","76,800.00","75,000.00",650.90K,-0.79%
05/09/2024,"76,100.00","77,600.00","77,800.00","76,100.00",772.40K,-1.68%
05/08/2024,"77,400.00","76,300.00","77,600.00","75,200.00",1.38M,1.44%
05/07/2024,"76,300.00","75,000.00","76,300.00","74,700.00",1.50M,2.01%
05/06/2024,"74,800.00","74,300.00","75,200.00","74,200.00",890.30K,0.81%
05/03/2024,"74,200.00","73,900.00","74,700.00","73,900.00",514.70K,0.41%
05/02/2024,"73,900.00","73,600.00","74,300.00","68,500.00",692.00K,0.54%
04/26/2024,"73,500.00","74,000.00","74,200.00","73,500.00",774.00K,-0.68%
04/25/2024,"74,000.00","75,000.00","75,000.00","74,000.00",788.50K,-0.80%
04/24/2024,"74,600.00","74,000.00","75,000.00","74,000.00",852.30K,0.54%
04/23/2024,"74,200.00","75,000.00","75,600.00","74,000.00",474.50K,-1.20%
04/22/2024,"75,100.00","75,000.00","75,600.00","74,900.00",799.20K,0.13%
04/19/2024,"75,000.00","76,500.00","76,500.00","74,700.00",884.10K,-0.13%
04/17/2024,"75,100.00","76,000.00","76,500.00","75,000.00",650.10K,-1.18%
04/16/2024,"76,000.00","76,200.00","76,900.00","75,000.00",1.12M,0.00%
04/15/2024,"76,000.00","79,500.00","80,600.00","74,200.00",1.10M,-4.64%
04/12/2024,"79,700.00","79,000.00","79,800.00","78,800.00",360.00K,1.14%
04/11/2024,"78,800.00","77,500.00","79,300.00","77,500.00",645.50K,-1.38%
04/10/2024,"79,900.00","81,300.00","81,300.00","79,200.00",637.90K,0.00%
04/09/2024,"79,900.00","80,000.00","80,500.00","79,500.00",623.60K,0.13%
04/08/2024,"79,800.00","80,900.00","81,000.00","79,100.00",675.70K,-1.36%
04/05/2024,"80,900.00","80,100.00","83,100.00","80,100.00",1.38M,-0.74%
04/04/2024,"81,500.00","81,800.00","82,300.00","81,100.00",751.90K,-0.37%
04/03/2024,"81,800.00","82,500.00","83,400.00","81,600.00",1.76M,-0.85%
04/02/2024,"82,500.00","81,000.00","82,600.00","79,900.00",1.74M,2.36%
04/01/2024,"80,600.00","80,200.00","80,700.00","79,800.00",747.70K,0.50%
03/29/2024,"80,200.00","82,400.00","82,400.00","80,100.00",616.40K,-0.12%
03/28/2024,"80,300.00","81,000.00","81,000.00","79,900.00",774.80K,0.00%
03/27/2024,"80,300.00","81,000.00","81,700.00","80,200.00",847.30K,-0.50%
03/26/2024,"80,700.00","80,100.00","81,000.00","80,000.00",596.50K,0.37%
03/25/2024,"80,400.00","80,800.00","81,400.00","80,000.00",972.90K,-0.12%
03/22/2024,"80,500.00","81,900.00","81,900.00","80,400.00",1.24M,-0.62%
03/21/2024,"81,000.00","81,900.00","81,900.00","80,500.00",938.70K,0.00%
03/20/2024,"81,000.00","80,000.00","81,200.00","79,600.00",1.46M,1.63%
03/19/2024,"79,700.00","81,000.00","81,000.00","79,700.00",950.40K,-0.62%
03/18/2024,"80,200.00","82,300.00","82,900.00","79,900.00",2.49M,-2.55%
03/15/2024,"82,300.00","81,300.00","82,900.00","80,700.00",2.40M,1.60%
