"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2024","31,600.0","31,250.0","31,600.0","31,150.0","28.64M","0.00%"
"05/16/2024","31,600.0","30,800.0","31,850.0","29,050.0","27.40M","1.28%"
"05/15/2024","31,200.0","30,200.0","31,350.0","30,200.0","45.11M","3.48%"
"05/14/2024","30,150.0","30,200.0","31,000.0","30,100.0","15.09M","-0.17%"
"05/13/2024","30,200.0","30,500.0","30,650.0","30,100.0","13.17M","-0.82%"
"05/10/2024","30,450.0","30,500.0","30,650.0","29,950.0","18.98M","0.00%"
"05/09/2024","30,450.0","30,300.0","31,000.0","29,300.0","19.42M","-0.81%"
"05/08/2024","30,700.0","30,150.0","32,250.0","29,750.0","34.29M","2.74%"
"05/07/2024","29,880.0","29,100.0","30,200.0","27,250.0","30.14M","1.98%"
"05/06/2024","29,300.0","28,300.0","30,650.0","28,300.0","27.11M","2.27%"
"05/03/2024","28,650.0","28,250.0","29,100.0","28,050.0","16.71M","1.06%"
"05/02/2024","28,350.0","29,150.0","29,150.0","28,050.0","7.32M","-0.87%"
"04/26/2024","28,600.0","28,350.0","28,600.0","26,600.0","18.30M","0.18%"
"04/25/2024","28,550.0","28,000.0","28,800.0","28,000.0","11.24M","-0.87%"
"04/24/2024","28,800.0","27,500.0","28,950.0","27,500.0","23.05M","2.86%"
"04/23/2024","28,000.0","27,900.0","28,050.0","27,400.0","18.36M","0.00%"
"04/22/2024","28,000.0","27,950.0","29,000.0","27,800.0","12.39M","0.72%"
"04/19/2024","27,800.0","27,900.0","28,300.0","27,500.0","26.14M","5.30%"
"04/17/2024","26,400.0","28,700.0","28,700.0","26,400.0","15.58M","-6.88%"
"04/16/2024","28,350.0","29,000.0","29,000.0","27,850.0","33.42M","-0.53%"
"04/15/2024","28,500.0","28,000.0","29,950.0","27,900.0","31.11M","-4.84%"
"04/12/2024","29,950.0","30,450.0","30,450.0","29,850.0","13.92M","0.17%"
"04/11/2024","29,900.0","29,650.0","30,150.0","29,350.0","19.25M","0.84%"
"04/10/2024","29,650.0","29,950.0","30,100.0","29,650.0","11.13M","-0.84%"
"04/09/2024","29,900.0","29,600.0","30,000.0","27,550.0","9.84M","1.01%"
