"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2024","23,250.0","23,800.0","23,800.0","23,150.0","15.47M","-0.64%"
"05/16/2024","23,400.0","23,100.0","23,550.0","22,450.0","31.43M","2.18%"
"05/15/2024","22,900.0","24,300.0","24,300.0","21,350.0","15.30M","-4.18%"
"05/14/2024","23,900.0","23,800.0","24,100.0","22,250.0","16.67M","5.33%"
"05/13/2024","22,690.0","22,600.0","23,000.0","22,150.0","14.00M","0.93%"
"05/10/2024","22,480.0","23,100.0","24,000.0","22,350.0","11.42M","-0.75%"
"05/09/2024","22,650.0","23,500.0","23,500.0","21,150.0","15.64M","0.44%"
"05/08/2024","22,550.0","22,850.0","23,430.0","21,200.0","21.44M","5.87%"
"05/07/2024","21,300.0","23,300.0","23,300.0","21,300.0","9.60M","-11.06%"
"05/06/2024","23,950.0","22,400.0","23,950.0","22,000.0","16.20M","6.26%"
"05/03/2024","22,540.0","22,600.0","23,000.0","22,000.0","11.86M","0.63%"
"05/02/2024","22,400.0","21,700.0","23,500.0","21,700.0","11.08M","0.00%"
"04/26/2024","22,400.0","22,250.0","22,650.0","22,000.0","13.33M","0.67%"
"04/25/2024","22,250.0","23,000.0","23,000.0","22,150.0","13.00M","-5.32%"
"04/24/2024","23,500.0","22,400.0","23,500.0","21,950.0","18.65M","6.82%"
"04/23/2024","22,000.0","22,700.0","22,700.0","21,750.0","32.00M","-7.68%"
"04/22/2024","23,830.0","24,250.0","24,250.0","22,600.0","17.58M","4.98%"
"04/19/2024","22,700.0","22,800.0","24,700.0","22,600.0","28.18M","-1.73%"
"04/17/2024","23,100.0","23,600.0","25,550.0","23,050.0","23.98M","-3.35%"
"04/16/2024","23,900.0","22,150.0","25,000.0","22,150.0","32.72M","-9.30%"
"04/15/2024","26,350.0","24,650.0","26,350.0","22,950.0","47.60M","6.90%"
"04/12/2024","24,650.0","23,500.0","24,810.0","23,500.0","23.91M","3.79%"
"04/11/2024","23,750.0","23,800.0","25,450.0","23,250.0","9.01M","-0.21%"
"04/10/2024","23,800.0","25,650.0","25,650.0","23,800.0","21.08M","-0.83%"
"04/09/2024","24,000.0","23,500.0","25,100.0","23,400.0","15.73M","2.13%"
"04/08/2024","23,500.0","23,350.0","24,950.0","23,150.0","24.71M","0.64%"
"04/05/2024","23,350.0","23,850.0","25,450.0","23,300.0","25.38M","-1.89%"
"04/04/2024","23,800.0","24,200.0","25,850.0","23,800.0","27.79M","-1.65%"
"04/03/2024","24,200.0","24,750.0","26,500.0","24,200.0","22.56M","-4.72%"
"04/02/2024","25,400.0","24,950.0","26,600.0","24,200.0","28.97M","2.01%"
"04/01/2024","24,900.0","25,400.0","27,150.0","24,700.0","19.24M","-1.97%"
"03/29/2024","25,400.0","25,500.0","25,600.0","23,750.0","11.65M","-0.39%"
"03/28/2024","25,500.0","25,300.0","25,700.0","25,200.0","15.99M","0.79%"
"03/27/2024","25,300.0","25,000.0","27,000.0","23,500.0","11.40M","0.20%"
"03/26/2024","25,250.0","24,400.0","26,400.0","23,200.0","15.61M","2.23%"
"03/25/2024","24,700.0","25,800.0","26,800.0","23,300.0","21.22M","-1.40%"
"03/22/2024","25,050.0","24,750.0","26,100.0","24,750.0","41.53M","1.21%"
"03/21/2024","24,750.0","24,300.0","24,750.0","24,100.0","30.97M","2.48%"
"03/20/2024","24,150.0","23,200.0","24,400.0","23,100.0","39.36M","4.09%"
"03/19/2024","23,200.0","23,200.0","23,350.0","22,950.0","13.61M","0.00%"
"03/18/2024","23,200.0","23,750.0","23,800.0","22,400.0","31.78M","-2.52%"
"03/15/2024","23,800.0","23,450.0","23,850.0","23,150.0","18.89M","1.49%"
"03/14/2024","23,450.0","23,950.0","23,950.0","23,400.0","18.36M","-1.68%"
"03/13/2024","23,850.0","23,100.0","23,850.0","23,100.0","15.27M","3.25%"
"03/12/2024","23,100.0","22,900.0","23,250.0","22,750.0","19.12M","0.65%"
"03/11/2024","22,950.0","23,550.0","23,600.0","22,800.0","34.91M","-2.75%"
"03/08/2024","23,600.0","24,500.0","24,500.0","23,600.0","49.38M","-3.28%"
"03/07/2024","24,400.0","24,700.0","24,800.0","24,350.0","19.76M","-1.01%"
"03/06/2024","24,650.0","24,600.0","25,150.0","24,500.0","22.28M","0.20%"
"03/05/2024","24,600.0","24,200.0","24,650.0","24,100.0","22.77M","1.65%"
"03/04/2024","24,200.0","24,100.0","24,450.0","23,750.0","31.95M","0.83%"
"03/01/2024","24,000.0","24,100.0","24,150.0","23,800.0","20.47M","-0.62%"
"02/29/2024","24,150.0","24,500.0","24,550.0","23,950.0","24.03M","-1.02%"
"02/28/2024","24,400.0","24,350.0","24,550.0","24,150.0","19.28M","0.62%"
"02/27/2024","24,250.0","24,050.0","24,450.0","23,850.0","22.91M","1.04%"
"02/26/2024","24,000.0","23,900.0","24,050.0","23,650.0","21.38M","0.21%"
"02/23/2024","23,950.0","24,000.0","24,700.0","23,750.0","49.05M","0.00%"
"02/22/2024","23,950.0","24,000.0","24,100.0","23,850.0","14.94M","-0.21%"
"02/21/2024","24,000.0","23,850.0","24,200.0","23,700.0","24.98M","0.63%"
"02/20/2024","23,850.0","23,850.0","24,100.0","23,650.0","20.31M","-0.42%"
"02/19/2024","23,950.0","24,000.0","24,100.0","23,600.0","20.95M","-0.21%"
"02/16/2024","24,000.0","24,100.0","24,100.0","23,700.0","16.17M","-0.62%"
"02/15/2024","24,150.0","23,700.0","24,200.0","23,550.0","24.09M","2.77%"
"02/07/2024","23,500.0","23,100.0","23,700.0","23,100.0","21.18M","1.95%"
"02/06/2024","23,050.0","23,000.0","23,150.0","22,950.0","11.52M","0.44%"
