"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2024","12,000.0","11,850.0","12,300.0","11,850.0","67.03M","1.27%"
"05/16/2024","11,850.0","11,600.0","11,850.0","11,600.0","36.80M","2.60%"
"05/15/2024","11,550.0","11,600.0","11,700.0","11,550.0","19.32M","-0.86%"
"05/14/2024","11,650.0","11,700.0","11,800.0","11,550.0","16.89M","0.00%"
"05/13/2024","11,650.0","11,600.0","11,750.0","11,500.0","21.83M","0.43%"
"05/10/2024","11,600.0","11,750.0","11,800.0","11,600.0","18.44M","-0.43%"
"05/09/2024","11,650.0","11,950.0","12,200.0","11,650.0","24.16M","-2.10%"
"05/08/2024","11,900.0","11,650.0","12,100.0","11,550.0","59.80M","3.03%"
"05/07/2024","11,550.0","10,950.0","11,800.0","10,950.0","18.19M","-1.70%"
"05/06/2024","11,750.0","11,500.0","11,750.0","11,500.0","27.19M","1.29%"
"05/03/2024","11,600.0","11,500.0","11,850.0","11,500.0","21.21M","-0.85%"
"05/02/2024","11,700.0","11,450.0","11,800.0","11,450.0","31.41M","2.18%"
"04/26/2024","11,450.0","11,150.0","11,850.0","11,100.0","33.00M","3.15%"
"04/25/2024","11,100.0","11,300.0","11,300.0","11,100.0","13.15M","0.91%"
"04/24/2024","11,000.0","11,100.0","11,300.0","10,950.0","15.69M","-0.90%"
"04/23/2024","11,100.0","11,400.0","11,400.0","10,850.0","31.27M","-0.45%"
"04/22/2024","11,150.0","11,200.0","11,400.0","11,150.0","17.33M","0.00%"
"04/19/2024","11,150.0","11,650.0","11,650.0","11,100.0","38.20M","0.45%"
"04/17/2024","11,100.0","11,500.0","11,650.0","11,100.0","32.44M","-3.48%"
"04/16/2024","11,500.0","11,350.0","11,650.0","11,250.0","33.22M","1.77%"
"04/15/2024","11,300.0","11,150.0","12,050.0","11,150.0","98.76M","0.00%"
"04/12/2024","11,300.0","11,150.0","11,300.0","11,100.0","25.35M","1.80%"
"04/11/2024","11,100.0","11,200.0","11,250.0","11,100.0","12.38M","-0.89%"
"04/10/2024","11,200.0","11,250.0","11,350.0","11,000.0","8.40M","0.00%"
"04/09/2024","11,200.0","11,100.0","11,250.0","11,000.0","11.96M","0.90%"
"04/08/2024","11,100.0","11,150.0","11,200.0","10,400.0","12.70M","-0.45%"
"04/05/2024","11,150.0","11,200.0","11,250.0","11,100.0","13.62M","-0.45%"
"04/04/2024","11,200.0","11,250.0","11,300.0","11,200.0","14.84M","-0.44%"
"04/03/2024","11,250.0","11,450.0","11,450.0","11,200.0","21.72M","-0.44%"
"04/02/2024","11,300.0","11,500.0","11,500.0","11,250.0","21.36M","-0.88%"
"04/01/2024","11,400.0","11,450.0","11,500.0","11,350.0","13.17M","0.00%"
"03/29/2024","11,400.0","11,600.0","12,400.0","11,400.0","18.02M","-1.72%"
"03/28/2024","11,600.0","11,500.0","11,650.0","10,700.0","14.02M","0.87%"
"03/27/2024","11,500.0","11,600.0","12,000.0","10,750.0","12.28M","0.00%"
"03/26/2024","11,500.0","11,400.0","11,550.0","10,650.0","15.22M","-5.74%"
"03/25/2024","12,200.0","11,550.0","12,200.0","10,900.0","20.82M","5.63%"
"03/22/2024","11,550.0","11,450.0","12,100.0","11,450.0","26.77M","0.87%"
"03/21/2024","11,450.0","11,450.0","11,550.0","11,350.0","21.47M","0.88%"
"03/20/2024","11,350.0","11,200.0","11,450.0","11,100.0","23.45M","1.34%"
"03/19/2024","11,200.0","11,200.0","11,300.0","11,150.0","11.49M","0.45%"
"03/18/2024","11,150.0","11,400.0","11,500.0","11,000.0","32.00M","-2.19%"
"03/15/2024","11,400.0","11,450.0","11,500.0","11,350.0","17.71M","-0.44%"
"03/14/2024","11,450.0","11,600.0","11,600.0","11,400.0","17.67M","-0.87%"
"03/13/2024","11,550.0","11,300.0","11,600.0","11,300.0","14.86M","2.21%"
"03/12/2024","11,300.0","11,350.0","11,450.0","11,250.0","22.46M","-0.88%"
"03/11/2024","11,400.0","11,700.0","11,700.0","11,350.0","30.06M","-2.56%"
"03/08/2024","11,700.0","11,950.0","12,000.0","11,700.0","26.20M","-1.68%"
"03/07/2024","11,900.0","11,850.0","11,950.0","11,750.0","20.27M","0.85%"
"03/06/2024","11,800.0","11,800.0","12,050.0","11,750.0","26.41M","-0.42%"
"03/05/2024","11,850.0","11,850.0","11,900.0","11,700.0","22.72M","0.00%"
"03/04/2024","11,850.0","11,950.0","12,000.0","11,800.0","24.83M","-0.42%"
"03/01/2024","11,900.0","11,850.0","11,900.0","11,750.0","27.25M","0.85%"
"02/29/2024","11,800.0","12,000.0","12,050.0","11,750.0","30.60M","-0.84%"
"02/28/2024","11,900.0","11,950.0","11,950.0","11,800.0","20.48M","0.00%"
"02/27/2024","11,900.0","11,800.0","11,900.0","11,700.0","26.09M","1.28%"
"02/26/2024","11,750.0","11,850.0","11,900.0","11,700.0","29.27M","-0.84%"
"02/23/2024","11,850.0","12,100.0","12,300.0","11,850.0","50.66M","-2.07%"
