"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2024","28,500.0","28,900.0","28,900.0","27,500.0","7.14M","0.35%"
"05/16/2024","28,400.0","28,000.0","28,650.0","28,000.0","16.79M","2.16%"
"05/15/2024","27,800.0","27,650.0","27,900.0","27,300.0","9.80M","2.02%"
"05/14/2024","27,250.0","27,000.0","27,550.0","27,000.0","7.43M","0.00%"
"05/13/2024","27,250.0","27,600.0","27,800.0","27,200.0","7.86M","-1.27%"
"05/10/2024","27,600.0","28,300.0","28,300.0","27,600.0","6.90M","-0.72%"
"05/09/2024","27,800.0","27,950.0","28,200.0","27,800.0","7.55M","-0.54%"
"05/08/2024","27,950.0","28,400.0","28,700.0","27,850.0","9.18M","-1.24%"
"05/07/2024","28,300.0","28,200.0","28,350.0","28,000.0","8.56M","0.71%"
"05/06/2024","28,100.0","27,550.0","28,150.0","27,550.0","8.81M","2.00%"
"05/03/2024","27,550.0","27,900.0","28,050.0","27,500.0","8.85M","-0.18%"
"05/02/2024","27,600.0","26,250.0","28,700.0","26,250.0","10.05M","-2.13%"
"04/26/2024","28,200.0","28,400.0","28,950.0","28,100.0","11.93M","-0.88%"
"04/25/2024","28,450.0","27,600.0","28,800.0","27,600.0","9.38M","-0.52%"
"04/24/2024","28,600.0","27,650.0","28,650.0","27,650.0","13.99M","2.88%"
"04/23/2024","27,800.0","27,150.0","28,200.0","27,150.0","18.40M","0.54%"
"04/22/2024","27,650.0","26,500.0","28,150.0","26,500.0","13.42M","3.17%"
"04/19/2024","26,800.0","26,500.0","28,000.0","26,150.0","23.05M","0.00%"
"04/17/2024","26,800.0","27,350.0","27,600.0","26,800.0","12.96M","-1.83%"
"04/16/2024","27,300.0","25,600.0","27,800.0","25,600.0","22.65M","-0.73%"
"04/15/2024","27,500.0","29,100.0","29,400.0","27,100.0","24.34M","-5.50%"
"04/12/2024","29,100.0","28,850.0","29,400.0","26,850.0","15.45M","0.87%"
"04/11/2024","28,850.0","28,900.0","29,100.0","28,750.0","10.46M","-0.86%"
"04/10/2024","29,100.0","29,200.0","29,450.0","29,100.0","14.93M","-0.17%"
"04/09/2024","29,150.0","29,000.0","29,250.0","28,700.0","17.95M","5.62%"
"04/08/2024","27,600.0","29,600.0","29,600.0","27,600.0","26.85M","-8.00%"
"04/05/2024","30,000.0","29,700.0","30,000.0","29,150.0","25.46M","1.01%"
"04/04/2024","29,700.0","30,500.0","30,500.0","29,600.0","30.27M","-1.33%"
"04/03/2024","30,100.0","30,300.0","30,800.0","30,000.0","26.96M","-0.33%"
"04/02/2024","30,200.0","30,700.0","30,950.0","29,250.0","105.09M","-3.82%"
"04/01/2024","31,400.0","31,750.0","31,750.0","31,050.0","24.13M","-0.63%"
"03/29/2024","31,600.0","32,000.0","32,550.0","30,600.0","34.57M","9.72%"
"03/28/2024","28,800.0","30,900.0","32,000.0","28,800.0","32.00M","-6.80%"
"03/27/2024","30,900.0","31,200.0","33,100.0","30,650.0","15.10M","-0.32%"
"03/26/2024","31,000.0","30,600.0","32,950.0","30,600.0","19.27M","0.49%"
"03/25/2024","30,850.0","31,650.0","31,700.0","30,800.0","25.05M","-2.53%"
"03/22/2024","31,650.0","31,700.0","32,400.0","31,300.0","32.81M","0.48%"
"03/21/2024","31,500.0","31,250.0","31,500.0","31,100.0","15.68M","1.12%"
"03/20/2024","31,150.0","30,400.0","31,250.0","30,150.0","28.15M","2.47%"
"03/19/2024","30,400.0","30,300.0","30,550.0","29,900.0","13.16M","0.50%"
"03/18/2024","30,250.0","30,500.0","30,700.0","29,700.0","26.18M","-0.82%"
"03/15/2024","30,500.0","30,450.0","30,750.0","30,200.0","17.49M","0.16%"
"03/14/2024","30,450.0","30,900.0","30,950.0","30,400.0","15.81M","-1.30%"
"03/13/2024","30,850.0","30,300.0","30,850.0","30,150.0","16.47M","1.98%"
"03/12/2024","30,250.0","30,100.0","30,550.0","30,100.0","13.20M","0.17%"
"03/11/2024","30,200.0","30,600.0","30,700.0","30,100.0","20.14M","-1.47%"
"03/08/2024","30,650.0","31,350.0","31,500.0","30,600.0","34.89M","-2.08%"
"03/07/2024","31,300.0","31,550.0","31,600.0","31,150.0","17.42M","-0.95%"
"03/06/2024","31,600.0","31,800.0","32,150.0","31,550.0","12.35M","-0.94%"
"03/05/2024","31,900.0","31,750.0","31,950.0","31,550.0","12.35M","0.47%"
"03/04/2024","31,750.0","32,100.0","32,200.0","31,650.0","17.16M","-0.63%"
"03/01/2024","31,950.0","31,750.0","32,200.0","31,700.0","27.19M","1.27%"
