"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2024","117,400","117,300","119,400","116,700","995.10K","-0.09%"
"05/16/2024","117,500","118,200","118,200","116,000","1.11M","7.80%"
"05/15/2024","109,000","116,500","118,400","109,000","1.32M","-6.84%"
"05/14/2024","117,000","116,100","119,500","116,100","1.08M","-1.52%"
"05/13/2024","118,800","117,000","119,600","115,500","1.05M","1.63%"
"05/10/2024","116,900","117,900","118,100","115,800","924.50K","-0.85%"
"05/09/2024","117,900","118,200","118,900","109,200","1.13M","0.43%"
"05/08/2024","117,400","110,300","118,800","110,300","1.23M","-1.01%"
"05/07/2024","118,600","116,000","118,700","106,200","1.56M","4.59%"
"05/06/2024","113,400","111,000","113,400","99,000","1.74M","6.98%"
"05/03/2024","106,000","103,000","106,600","103,000","1.09M","2.02%"
"05/02/2024","103,900","96,900","104,600","96,900","827.70K","-0.10%"
"04/26/2024","104,000","108,000","108,000","101,900","903.60K","0.48%"
"04/25/2024","103,500","103,800","104,000","101,500","904.50K","0.00%"
"04/24/2024","103,500","102,600","103,800","102,100","897.10K","0.68%"
"04/23/2024","102,800","104,800","104,800","101,000","1.11M","-0.48%"
"04/22/2024","103,300","96,100","104,400","96,100","810.70K","0.00%"
"04/19/2024","103,300","103,400","103,600","102,000","947.30K","-0.10%"
"04/17/2024","103,400","100,700","109,000","100,700","1.10M","-2.45%"
"04/16/2024","106,000","105,800","107,300","103,000","1.02M","0.09%"
"04/15/2024","105,900","106,900","106,900","104,000","1.10M","-1.03%"
"04/12/2024","107,000","101,100","107,400","100,600","1.51M","5.94%"
"04/11/2024","101,000","102,000","102,000","100,700","947.40K","-0.98%"
"04/10/2024","102,000","101,300","102,500","101,000","902.70K","-0.20%"
"04/09/2024","102,200","101,200","102,500","100,800","804.10K","1.09%"
"04/08/2024","101,100","104,000","104,000","100,500","800.80K","-0.79%"
"04/05/2024","101,900","104,000","104,000","101,300","750.10K","-0.29%"
"04/04/2024","102,200","100,900","103,100","100,900","810.00K","0.00%"
"04/03/2024","102,200","103,500","103,500","100,700","871.40K","-0.78%"
"04/02/2024","103,000","95,600","103,000","95,600","815.10K","0.29%"
"04/01/2024","102,700","110,200","110,200","101,900","719.10K","-0.29%"
"03/29/2024","103,000","103,200","103,900","102,400","664.10K","-0.19%"
"03/28/2024","103,200","104,000","104,000","101,500","635.10K","0.19%"
